acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp,label
-1.048056,-5.525027,-7.32443,-79.730003,64.82,-11.83,1729431735026.0,0.0
-1.445265,-5.60399,-7.140182,-73.220001,64.610001,-7.35,1729431735032.0,0.0
-1.59362,-6.101698,-7.068398,-71.400002,58.66,-6.16,1729431735032.0,0.0
-1.521835,-5.927022,-7.039684,-55.720001,49.560001,-5.53,1729431735033.0,0.0
-1.706082,-5.369494,-6.826723,-30.030001,41.509998,-2.66,1729431735038.0,0.0
-1.89033,-5.338387,-6.625726,-12.39,35.209999,-0.91,1729431735057.0,0.0
-2.002793,-5.771489,-7.018148,0.07,28.35,1.82,1729431735076.0,0.0
-2.54357,-5.596812,-6.84108,8.75,18.059999,4.27,1729431735098.0,0.0
-2.794817,-5.142176,-6.65444,5.04,13.3,5.95,1729431735118.0,0.0
-2.713461,-5.089533,-6.666404,-5.04,8.47,7.91,1729431735137.0,0.0
-2.775674,-5.412565,-6.943972,-22.469999,7.91,7.91,1729431735158.0,0.0
-2.691926,-6.084948,-7.106683,-38.080002,7.07,6.72,1729431735176.0,0.0
-2.349752,-6.092126,-7.190433,-40.880001,5.67,3.99,1729431735196.0,0.0
-2.323431,-5.539384,-7.089933,-33.740002,7.42,3.08,1729431735218.0,0.0
-2.112862,-5.355137,-6.910471,-29.33,11.34,4.41,1729431735237.0,0.0
-1.395016,-5.185246,-6.721439,-27.23,7.63,7.98,1729431735257.0,0.0
-1.174876,-5.271388,-7.290931,-31.43,1.82,11.76,1729431735277.0,0.0
-1.028914,-5.728417,-8.427521,-37.799999,-2.66,10.71,1729431735298.0,0.0
-0.689133,-6.209375,-9.420543,-34.509998,-3.36,7.49,1729431735318.0,0.0
-0.284746,-6.185446,-9.769895,-18.76,-1.12,2.66,1729431735337.0,0.0
-0.260818,-5.56092,-9.186047,3.99,0.91,-1.54,1729431735360.0,0.0
-0.717847,-5.319244,-8.846266,16.1,3.29,-4.76,1729431735376.0,0.0
-0.851845,-5.340781,-8.685946,19.25,2.8,-6.3,1729431735397.0,0.0
-0.732204,-4.388437,-8.350951,17.360001,1.61,-7.7,1729431735417.0,0.0
-0.677169,-4.431508,-8.611769,2.17,-2.1,-6.3,1729431735436.0,0.0
-0.624527,-5.051248,-9.006584,-8.4,-1.75,-3.08,1729431735458.0,0.0
-0.579063,-5.395815,-8.906086,-6.16,-1.75,-1.54,1729431735476.0,0.0
-0.55992,-5.532206,-8.944371,0.21,1.12,-1.33,1729431735496.0,0.0
-0.557528,-5.405386,-8.906086,-3.08,3.5,-3.71,1729431735518.0,0.0
-0.622134,-5.446064,-8.62134,-9.24,4.97,-4.13,1729431735537.0,0.0
-0.42353,-5.568098,-8.733803,-9.59,3.78,-4.83,1729431735557.0,0.0
-0.452243,-5.278566,-8.9348,-5.25,3.22,-5.81,1729431735577.0,0.0
-0.612563,-4.945964,-8.963513,-3.22,4.76,-5.95,1729431735596.0,0.0
-0.595813,-4.977071,-9.052048,-2.45,5.88,-4.76,1729431735619.0,0.0
-0.57667,-4.847858,-8.805587,-1.26,7.0,-3.15,1729431735637.0,0.0
-0.622134,-4.912465,-8.427521,-3.78,7.49,-2.31,1729431735656.0,0.0
-0.586242,-5.058427,-8.446664,-9.66,6.16,-2.31,1729431735676.0,0.0
-0.531207,-4.917251,-8.618947,-19.6,4.41,-3.78,1729431735696.0,0.0
-0.370888,-5.151747,-8.822337,-24.639999,4.41,-4.41,1729431735717.0,0.0
-0.138784,-5.142176,-8.906086,-16.030001,4.06,-3.99,1729431735737.0,0.0
-0.162712,-5.020142,-8.855836,-5.25,3.85,-3.29,1729431735759.0,0.0
-0.105284,-4.790431,-8.930015,-3.01,2.31,-3.78,1729431735776.0,0.0
-0.267996,-4.682754,-9.035298,-8.89,2.94,-4.55,1729431735796.0,0.0
-0.275175,-4.941179,-8.95155,-11.69,3.64,-3.5,1729431735818.0,0.0
-0.366102,-4.941179,-8.781659,-3.64,3.99,-2.38,1729431735836.0,0.0
-0.37328,-4.706682,-8.69791,5.81,3.29,-3.5,1729431735857.0,0.0
-0.382852,-4.61097,-8.760124,4.06,2.8,-3.22,1729431735876.0,0.0
-0.421137,-4.704289,-8.750552,-3.22,3.08,-2.94,1729431735896.0,0.0
-0.51685,-4.981857,-8.908479,-4.34,2.66,-2.66,1729431735917.0,0.0
-0.401994,-4.831109,-8.889337,-0.7,2.1,-3.15,1729431735938.0,0.0
-0.440279,-4.713861,-9.018548,-0.21,1.96,-3.64,1729431735956.0,0.0
-0.514457,-4.776074,-9.286544,-4.06,3.36,-4.69,1729431735976.0,0.0
-0.569492,-4.721039,-9.253045,-8.61,5.04,-5.88,1729431735996.0,0.0
-0.792024,-4.9675,-9.320045,-15.05,8.61,-6.65,1729431736017.0,0.0
-0.751346,-5.245068,-9.466006,-14.63,10.22,-8.26,1729431736036.0,0.0
-0.765703,-4.864608,-9.221939,-7.7,11.76,-11.76,1729431736057.0,0.0
-0.835095,-4.938786,-9.200402,-5.18,13.440001,-13.72,1729431736075.0,0.0
-0.729811,-4.618148,-8.894121,-1.4,15.12,-17.290001,1729431736096.0,0.0
-0.631705,-4.041477,-8.642875,2.03,14.84,-18.41,1729431736118.0,0.0
-0.256032,-4.144369,-8.312666,-3.15,12.74,-19.18,1729431736136.0,0.0
-0.37328,-4.110869,-8.133204,-7.98,9.87,-19.25,1729431736158.0,0.0
-0.746561,-4.101298,-7.922636,-10.15,5.74,-17.92,1729431736176.0,0.0
-1.064806,-4.326223,-7.812566,-14.0,2.17,-16.940001,1729431736196.0,0.0
-0.868595,-4.625326,-8.262416,-15.82,-1.05,-15.82,1729431736217.0,0.0
-0.641276,-4.778467,-8.853443,-11.55,-3.36,-15.33,1729431736244.0,0.0
-0.842274,-3.981657,-8.85823,-3.01,-5.6,-12.67,1729431736256.0,0.0
