acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp,label
0.303888,-6.041877,5.209175,-4.34,44.310001,51.869999,1729477836091.0,0.0
-2.928815,-11.49512,8.489735,76.370003,48.580002,73.639999,1729477836095.0,0.0
-3.859623,-16.859827,10.607382,104.510002,23.940001,27.23,1729477836095.0,0.0
-4.206582,-6.218946,0.392423,-9.45,50.470001,5.39,1729477836099.0,0.0
-10.08814,-7.513463,1.136591,42.420002,56.420002,40.18,1729477836121.0,0.0
-11.708081,-11.889936,5.213961,-13.3,21.139999,-21.0,1729477836140.0,0.0
-5.517848,-11.641083,6.388836,-122.919998,17.780001,-61.810001,1729477836160.0,0.0
-1.229911,-11.339586,6.025128,-179.130005,3.92,-71.68,1729477836185.0,0.0
0.971486,-10.995021,5.123034,-182.559998,6.02,-87.5,1729477836200.0,0.0
0.260818,-9.367901,3.646662,-172.270004,15.12,-81.760002,1729477836220.0,0.0
0.129212,-8.271988,2.892922,-181.369995,17.290001,-69.090004,1729477836241.0,0.0
0.660419,-7.846066,1.579263,-184.589996,21.0,-66.43,1729477836260.0,0.0
0.87338,-7.271788,0.600598,-173.669998,33.459999,-57.049999,1729477836281.0,0.0
0.918844,-7.185646,-0.227318,-159.949997,48.299999,-42.630001,1729477836301.0,0.0
0.765703,-7.922636,-0.89013,-162.889999,58.029999,-29.120001,1729477836320.0,0.0
0.232104,-8.793623,-1.512264,-185.919998,61.459999,-16.59,1729477836340.0,0.0
-0.208176,-9.769895,-2.495714,-199.220001,63.349998,-7.56,1729477836361.0,0.0
-0.51685,-10.540384,-3.381058,-185.080002,63.91,2.8,1729477836381.0,0.0
-0.744168,-10.535598,-3.909872,-154.979996,63.91,3.36,1729477836401.0,0.0
-1.148555,-9.659825,-4.101298,-132.229996,67.620003,1.89,1729477836420.0,0.0
-1.363909,-9.073583,-4.003192,-113.330002,68.389999,5.95,1729477836440.0,0.0
-1.555335,-9.085547,-3.962514,-102.760002,62.09,9.59,1729477836460.0,0.0
-1.878366,-8.693125,-4.546363,-98.980003,52.990002,10.15,1729477836482.0,0.0
-2.428715,-8.037491,-4.63729,-90.090004,48.02,14.14,1729477836500.0,0.0
-2.945565,-8.547162,-4.558327,-69.650002,42.630001,21.0,1729477836520.0,0.0
-3.608376,-8.422735,-4.850252,-49.77,28.07,22.190001,1729477836540.0,0.0
-4.072584,-8.018349,-5.168497,-31.08,23.870001,22.469999,1729477836560.0,0.0
-4.402793,-8.169096,-4.802395,-12.95,19.25,22.540001,1729477836582.0,0.0
-4.476971,-8.429914,-4.563113,-4.83,14.21,16.940001,1729477836600.0,0.0
-4.309474,-7.977671,-4.603791,1.4,12.6,10.22,1729477836621.0,0.0
-4.165904,-8.049455,-4.622933,7.35,13.51,9.52,1729477836641.0,0.0
-3.661019,-8.193025,-4.508078,7.7,11.76,7.07,1729477836668.0,0.0
-3.795017,-8.4012,-4.364508,5.67,18.620001,3.85,1729477836681.0,0.0
-3.538985,-8.688338,-4.323831,8.75,17.15,4.2,1729477836701.0,0.0
-2.924029,-8.276773,-4.079762,18.27,9.45,4.2,1729477836721.0,0.0
-2.955136,-7.922636,-3.804588,18.34,13.23,2.87,1729477836740.0,0.0
-2.931208,-8.051848,-3.9673,9.24,9.94,2.17,1729477836761.0,0.0
-2.816352,-8.465806,-3.9673,5.46,7.0,4.2,1729477836782.0,0.0
-2.56032,-8.317451,-3.981657,4.41,1.33,3.29,1729477836800.0,0.0
-2.813959,-8.322237,-4.608576,0.91,1.12,0.14,1729477836821.0,0.0
-2.761317,-8.181061,-4.644469,4.06,0.14,0.63,1729477836841.0,0.0
-2.529213,-8.630912,-4.460221,-2.45,0.84,-0.7,1729477836861.0,0.0
-2.254039,-8.583055,-4.797609,-2.31,-3.92,-4.2,1729477836881.0,0.0
-2.115255,-8.46102,-4.733003,-0.84,-2.94,-2.45,1729477836900.0,0.0
-2.502892,-8.571091,-4.713861,-8.89,4.13,-4.62,1729477836920.0,0.0
-2.572284,-8.453842,-5.106283,-11.97,3.29,-5.25,1729477836941.0,0.0
-2.354537,-8.626125,-5.300103,-12.46,2.31,-5.11,1729477836960.0,0.0
-2.225325,-8.719445,-5.35753,-10.85,3.99,-4.83,1729477836984.0,0.0
-2.182254,-8.585447,-5.091926,-6.72,6.86,-5.81,1729477837000.0,0.0
-2.009971,-8.322237,-5.134997,-1.89,6.09,-5.53,1729477837021.0,0.0
-1.679761,-8.30788,-5.211568,-0.14,3.92,-2.73,1729477837040.0,0.0
-1.940579,-8.568698,-4.902894,3.57,10.08,-0.56,1729477837060.0,0.0
-2.196611,-8.506484,-4.520042,15.47,13.93,0.28,1729477837081.0,0.0
