acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp,label
-1.734797,-8.145168,2.321038,-146.369995,-8.61,-96.949997,1729421181917.0,0.0
-1.639083,-8.55434,1.442872,-171.919998,4.55,-85.82,1729421181919.0,0.0
-1.292124,-9.075976,0.37328,-179.619995,9.52,-75.529999,1729421181919.0,0.0
-1.09352,-9.343972,-0.066999,-175.770004,16.940001,-65.870003,1729421181920.0,0.0
-1.5003,-9.351151,-0.306281,-160.509995,28.630001,-57.540001,1729421181921.0,0.0
-1.445265,-9.212367,-0.629312,-142.869995,31.360001,-50.68,1729421181921.0,0.0
-1.009771,-8.788837,-1.196411,-134.470001,28.91,-44.029999,1729421181932.0,0.0
-1.196411,-9.174082,-1.753939,-128.940002,32.619999,-36.889999,1729421181948.0,0.0
-1.859223,-9.640682,-2.17029,-126.279999,38.009998,-30.17,1729421181968.0,0.0
-1.938186,-9.284152,-2.225325,-114.309998,36.610001,-24.360001,1729421181988.0,0.0
-1.538585,-8.85105,-2.392823,-103.599998,30.66,-20.790001,1729421182007.0,0.0
-1.816152,-8.733803,-2.445465,-94.709999,31.360001,-15.82,1729421182028.0,0.0
-2.258825,-8.963513,-2.400001,-82.809998,30.799999,-11.27,1729421182048.0,0.0
-1.866402,-8.650054,-2.383251,-62.510002,24.43,-6.65,1729421182068.0,0.0
-1.651048,-8.197811,-2.567499,-45.709999,19.950001,0.63,1729421182088.0,0.0
-2.177469,-8.212167,-2.792424,-43.959999,17.57,7.98,1729421182109.0,0.0
-2.117648,-8.99462,-1.775474,-45.639999,16.1,13.09,1729421182129.0,0.0
-2.333002,-9.286544,-2.847459,-44.939999,13.440001,16.52,1729421182149.0,0.0
-2.938386,-8.82473,-2.823531,-33.18,13.16,11.9,1729421182169.0,0.0
-2.998207,-8.51127,-3.412165,-28.98,9.66,8.12,1729421182188.0,0.0
-2.414358,-9.102298,-3.986443,-31.08,3.85,6.72,1729421182208.0,0.0
-2.359323,-9.745967,-3.773481,-33.599998,5.67,6.58,1729421182229.0,0.0
-2.409572,-9.473185,-3.510271,-32.34,7.91,0.98,1729421182251.0,0.0
-2.261217,-8.788837,-3.668197,-28.77,4.76,-3.57,1729421182269.0,0.0
-2.179861,-8.999406,-3.78066,-25.129999,3.15,-5.39,1729421182289.0,0.0
-2.615355,-8.396415,-2.304288,-17.92,5.11,-5.53,1729421182308.0,0.0
-3.256632,-8.250452,-2.163112,-22.610001,0.84,-6.23,1729421182329.0,0.0
-3.227918,-8.843873,-3.629912,-27.299999,-5.88,-6.37,1729421182350.0,0.0
-2.215754,-9.075976,-4.460221,-7.0,-8.05,-8.75,1729421182368.0,0.0
-1.820938,-8.49452,-4.039084,3.99,-1.12,-13.02,1729421182388.0,0.0
-2.103291,-7.719246,-4.031906,-12.88,-1.19,-7.91,1729421182409.0,0.0
-1.366302,-8.492127,-4.395615,-24.15,-8.82,-2.38,1729421182430.0,0.0
-0.957129,-8.908479,-5.615955,-29.889999,-11.06,-3.15,1729421182448.0,0.0
-1.117448,-8.303094,-3.321238,-24.219999,-8.33,-3.71,1729421182470.0,0.0
-1.452443,-9.580862,-5.618347,-30.73,-13.72,-11.76,1729421182489.0,0.0
-0.662812,-8.216952,-6.69751,-5.39,-13.02,-13.02,1729421182509.0,0.0
-0.969093,-8.422735,-6.439085,5.04,-2.24,-5.81,1729421182530.0,0.0
-1.663012,-9.798609,-5.759524,4.62,5.18,-3.5,1729421182549.0,0.0
-1.533799,-8.872586,-5.359922,2.73,7.77,-7.49,1729421182569.0,0.0
-0.947558,-8.456236,-4.871787,-5.88,8.96,-9.24,1729421182595.0,0.0
-0.72024,-8.590233,-4.240082,-13.3,7.42,-8.26,1729421182608.0,0.0
-0.79681,-8.312666,-4.12044,-9.59,2.87,-5.11,1729421182631.0,0.0
-1.397408,-9.286544,-3.952943,-11.76,-0.42,-3.01,1729421182650.0,0.0
-1.485943,-8.915657,-4.070191,-16.24,-6.44,-7.28,1729421182669.0,0.0
-1.172483,-8.865408,-5.661418,-19.460001,-11.97,-8.75,1729421182690.0,0.0
-1.409373,-6.826723,-4.491328,-16.870001,-8.26,-2.45,1729421182710.0,0.0
-1.631905,-8.487342,-5.295317,-14.56,-13.37,2.8,1729421182729.0,0.0
-1.531406,-8.638089,-5.860023,-17.360001,-10.85,1.82,1729421182750.0,0.0
-0.882952,-9.128618,-5.955735,-12.81,-7.56,0.84,1729421182771.0,0.0
-0.736989,-8.896514,-5.95095,-7.35,-1.96,-1.75,1729421182788.0,0.0
-0.87338,-8.54477,-5.345565,0.07,4.06,-1.47,1729421182811.0,0.0
-1.146162,-8.039884,-4.701896,3.64,2.87,-1.47,1729421182830.0,0.0
-1.627119,-7.826923,-4.555934,-0.91,0.28,1.68,1729421182850.0,0.0
-1.497907,-8.338986,-4.972286,-6.16,-5.53,5.04,1729421182871.0,0.0
-1.471586,-9.068797,-5.647062,-3.43,-9.17,5.18,1729421182890.0,0.0
-1.56012,-9.111869,-5.960521,-5.53,-6.93,2.03,1729421182909.0,0.0
-1.552942,-9.128618,-5.812167,-7.63,-1.68,-0.56,1729421182930.0,0.0
-1.423729,-8.233703,-5.103891,4.62,2.38,-2.52,1729421182952.0,0.0
-1.655833,-8.130811,-4.584648,11.55,1.47,-0.28,1729421182970.0,0.0
-2.112862,-8.949157,-4.589434,1.4,-0.49,-0.42,1729421182991.0,0.0
-1.674976,-8.707481,-5.233103,-10.57,-2.66,-3.99,1729421183011.0,0.0
-1.328017,-7.003791,-4.23051,-8.68,-2.59,2.24,1729421183031.0,0.0
-2.088934,-9.355937,-5.20439,-4.76,-4.62,4.48,1729421183052.0,0.0
-2.35693,-9.111869,-5.781059,0.28,-2.8,1.75,1729421183074.0,0.0
-2.15354,-9.035298,-5.776274,13.440001,-1.19,-2.24,1729421183091.0,0.0
-2.725425,-8.563912,-5.120641,13.23,7.28,-8.19,1729421183110.0,0.0
-3.002992,-8.283953,-4.441079,19.6,10.22,-10.64,1729421183132.0,0.0
-3.141776,-8.018349,-3.625126,27.23,9.87,-11.97,1729421183151.0,0.0
-3.256632,-8.26481,-3.37388,31.780001,2.45,-14.77,1729421183171.0,0.0
-3.086741,-8.343772,-3.445665,32.27,-5.88,-17.639999,1729421183192.0,0.0
