acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp,label
-3.802195,-7.944171,-6.85783,4.13,28.42,-14.63,1729420083539.0,0.0
-3.5007,-8.003991,-6.778866,2.31,31.57,-18.41,1729420083539.0,0.0
-3.385844,-7.9681,-6.419943,4.9,34.720001,-19.25,1729420083540.0,0.0
-3.326023,-7.980063,-6.128019,16.1,35.91,-19.040001,1729420083540.0,0.0
-3.227918,-7.970492,-6.173482,28.280001,37.799999,-21.139999,1729420083547.0,0.0
-3.218346,-7.700103,-6.171089,30.450001,39.41,-24.99,1729420083571.0,0.0
-3.165704,-7.554141,-6.015556,22.4,39.48,-27.65,1729420083588.0,0.0
-3.139383,-7.853244,-5.682954,20.93,37.029999,-29.540001,1729420083608.0,0.0
-3.022135,-7.628319,-5.491528,29.960001,31.01,-31.15,1729420083627.0,0.0
-2.603391,-6.970293,-5.501099,39.200001,28.280001,-31.15,1729420083648.0,0.0
-2.567499,-6.860222,-5.613562,19.110001,19.460001,-35.07,1729420083674.0,0.0
-2.720639,-7.176075,-5.237889,-3.78,13.09,-37.240002,1729420083687.0,0.0
-2.916851,-7.872386,-4.785645,-10.43,6.65,-37.73,1729420083708.0,0.0
-3.017349,-8.078169,-4.323831,-6.02,-1.33,-41.369999,1729420083727.0,0.0
-3.306881,-8.288737,-4.905287,7.84,-6.37,-39.759998,1729420083748.0,0.0
-3.641876,-7.635497,-4.742575,18.549999,-13.02,-37.450001,1729420083769.0,0.0
-3.806981,-6.838687,-4.285545,17.92,-24.15,-32.900002,1729420083787.0,0.0
-3.570091,-6.443871,-4.895715,11.41,-29.68,-27.860001,1729420083808.0,0.0
-2.660819,-5.067998,-8.133204,20.719999,-30.940001,-14.7,1729420083828.0,0.0
-3.823731,-2.411965,-9.190832,46.900002,-26.460001,19.389999,1729420083848.0,0.0
-6.38405,-6.597012,-5.448457,113.470001,-1.82,53.27,1729420083869.0,0.0
-8.365308,-12.784851,1.598405,130.339996,15.4,41.860001,1729420083888.0,0.0
-7.357929,-9.590433,-4.41715,13.23,6.02,13.02,1729420083907.0,0.0
-3.574877,-7.692925,-9.394222,-58.099998,1.05,-0.91,1729420083927.0,0.0
-1.196411,-8.676375,-4.725825,11.06,-5.88,20.370001,1729420083948.0,0.0
-1.210768,-9.396614,-1.277767,78.050003,42.98,28.07,1729420083969.0,0.0
-2.270789,-4.883751,4.027121,55.720001,65.519997,13.23,1729420083987.0,0.0
-3.771089,-5.237889,1.385444,-56.91,-39.549999,-1.33,1729420084008.0,0.0
-4.68754,-7.314859,-5.221139,-152.949997,-25.34,-44.66,1729420084029.0,0.0
-2.227718,-11.157731,-6.613762,-115.989998,-134.960007,-59.920002,1729420084048.0,0.0
0.318245,-7.446464,-3.74716,-98.349998,-230.369995,-59.639999,1729420084070.0,0.0
-1.964507,-1.749153,-9.312866,-182.279999,-162.399994,-75.25,1729420084088.0,0.0
-4.878965,-7.79103,-19.642681,-126.559998,75.389999,-48.23,1729420084108.0,0.0
-7.188039,-16.070196,-8.80798,-59.990002,57.119999,0.07,1729420084128.0,0.0
-4.175476,-10.073784,-8.695518,-12.6,18.690001,31.5,1729420084148.0,0.0
-1.0002,-4.393222,-11.956935,52.290001,15.68,26.74,1729420084169.0,0.0
-0.861416,-8.85823,-7.91785,77.07,86.800003,13.51,1729420084196.0,0.0
-1.282553,-7.283752,-0.748954,11.97,107.309998,-5.74,1729420084208.0,0.0
-0.581456,-6.252446,2.852244,-48.16,46.619999,-21.42,1729420084230.0,0.0
0.899701,-7.149754,-0.447458,-27.719999,-23.309999,-28.559999,1729420084248.0,0.0
0.062213,-4.386044,0.564706,-33.110001,-29.33,-48.09,1729420084269.0,0.0
-0.425922,-4.421937,-2.038685,-74.059998,-70.980003,-86.099998,1729420084288.0,0.0
-0.739382,-1.339981,-9.164511,-101.150002,-111.440002,-74.550003,1729420084308.0,0.0
-4.754539,-7.936993,-14.00519,-63.91,-40.18,9.17,1729420084328.0,0.0
-7.673782,-8.901299,-17.70928,-178.639999,85.959999,1.47,1729420084348.0,0.0
-6.070591,-14.287544,-13.507483,-145.460007,45.360001,31.01,1729420084372.0,0.0
-0.40678,-10.837094,-11.91147,45.849998,-6.37,65.309998,1729420084387.0,0.0
0.995414,-7.197611,-10.090532,138.460007,53.760002,62.23,1729420084408.0,0.0
-1.607977,-8.367701,-6.252446,112.699997,149.660004,45.080002,1729420084428.0,0.0
-3.878766,-7.551748,0.839881,43.75,135.169998,10.29,1729420084448.0,0.0
-2.045863,-7.15454,-1.677369,9.8,39.549999,-25.83,1729420084470.0,0.0
-0.480957,-3.976871,-0.514457,29.960001,-33.32,-33.25,1729420084488.0,0.0
-2.09372,-1.117448,-0.346959,-0.98,-23.24,-45.43,1729420084508.0,0.0
-2.723032,-0.057428,-6.687939,-102.129997,-38.360001,-75.040001,1729420084528.0,0.0
-0.875773,-0.81356,-10.602598,-133.0,-115.709999,-52.150002,1729420084548.0,0.0
-3.012564,-6.312266,-12.387643,-66.57,-86.730003,16.030001,1729420084570.0,0.0
-8.836694,-11.203196,-17.749958,-166.320007,95.410004,13.16,1729420084590.0,0.0
-3.48395,-12.765708,-12.263215,-24.15,33.25,52.150002,1729420084609.0,0.0
1.150948,-9.707682,-10.243673,148.119995,9.94,79.870003,1729420084629.0,0.0
0.842274,-7.326823,-4.534399,153.580002,92.82,51.73,1729420084649.0,0.0
-0.646062,-8.537591,-6.075377,89.040001,131.460007,15.96,1729420084678.0,0.0
0.260818,-6.06102,-3.069991,60.970001,50.610001,-9.31,1729420084689.0,0.0
1.004985,-4.953143,0.641276,17.85,-14.14,-34.790001,1729420084709.0,0.0
0.272782,-2.301895,-3.555735,-27.65,-17.360001,-52.150002,1729420084730.0,0.0
-1.234696,0.497707,-2.35693,-25.620001,-35.420002,-56.77,1729420084749.0,0.0
-1.87358,2.227718,-4.558327,-62.580002,-81.410004,-31.360001,1729420084772.0,0.0
-2.742175,-2.708675,-12.435498,-113.82,-80.919998,-7.42,1729420084789.0,0.0
-6.73101,-7.898707,-15.371492,-157.570007,-29.960001,24.92,1729420084809.0,0.0
-7.106683,-11.263017,-18.616161,-190.539993,45.009998,7.35,1729420084830.0,0.0
-3.010171,-12.021541,-12.457035,-27.23,8.33,49.77,1729420084850.0,0.0
1.055235,-8.745767,-9.217153,135.589996,-1.96,64.959999,1729420084872.0,0.0
0.33021,-6.563512,-6.563512,108.57,56.349998,40.18,1729420084889.0,0.0
-1.083949,-9.901501,-10.657632,67.830002,77.489998,4.69,1729420084914.0,0.0
0.339781,-5.613562,-3.78066,56.209999,25.48,-28.42,1729420084929.0,0.0
0.083749,-4.759324,-1.083949,38.43,-27.299999,-52.080002,1729420084949.0,0.0
-0.66999,0.39003,-1.509871,14.0,-34.299999,-49.700001,1729420084971.0,0.0
-0.583849,2.22054,-5.271388,-23.450001,-74.970001,-48.439999,1729420084989.0,0.0
-0.332602,1.433301,-9.016156,-64.120003,-102.129997,-22.960001,1729420085010.0,0.0
-3.053242,-3.548556,-13.643874,-101.779999,-49.0,12.32,1729420085029.0,0.0
-7.393822,-10.487741,-14.912071,-96.949997,19.25,50.400002,1729420085049.0,0.0
-6.9344,-10.966305,-14.175081,-110.389999,48.509998,30.66,1729420085072.0,0.0
-1.928615,-11.837293,-9.08794,41.720001,-12.81,55.299999,1729420085089.0,0.0
1.765903,-8.425128,-7.783852,141.610001,-6.3,61.810001,1729420085108.0,0.0
1.344766,-7.013363,-8.188239,103.18,51.380001,36.540001,1729420085129.0,0.0
0.29671,-6.809973,-4.960321,60.760002,47.810001,12.11,1729420085149.0,0.0
0.87338,-6.343372,-1.37348,47.25,-4.62,-5.11,1729420085171.0,0.0
2.09372,-2.184647,-3.237489,64.540001,-34.790001,-7.84,1729420085190.0,0.0
-0.189033,-0.904487,-1.39023,54.32,-32.27,8.47,1729420085209.0,0.0
-2.333002,-2.22054,-2.275574,-13.93,-44.380001,-7.49,1729420085229.0,0.0
-2.770889,-3.053242,-8.355737,-72.590004,-90.790001,-4.83,1729420085249.0,0.0
-3.311667,-4.419543,-14.658432,-99.470001,-113.050003,13.72,1729420085272.0,0.0
-6.350551,-9.111869,-15.8692,-55.09,-31.57,34.439999,1729420085290.0,0.0
-7.649854,-10.839487,-15.8357,-24.08,56.0,19.530001,1729420085308.0,0.0
-4.651647,-8.087741,-7.13779,118.020004,19.25,47.670002,1729420085330.0,0.0
-1.404587,-3.385844,-6.472585,191.729996,12.95,60.970001,1729420085350.0,0.0
-2.311467,-4.398008,-6.068198,132.860001,53.900002,44.170002,1729420085372.0,0.0
-3.254239,-7.980063,-4.711468,64.959999,79.449997,6.86,1729420085389.0,0.0
-1.813759,-5.723632,-0.693919,74.550003,14.63,2.38,1729420085408.0,0.0
0.978664,-1.442872,1.392623,115.010002,-53.34,3.64,1729420085428.0,0.0
0.332602,0.98345,-0.26321,69.300003,-63.560001,18.27,1729420085449.0,0.0
-3.986443,-2.878566,-2.998207,-91.699997,-48.439999,-6.02,1729420085470.0,0.0
-7.491928,-9.10469,-10.887343,-213.149994,-74.199997,-22.889999,1729420085489.0,0.0
-7.9011,-11.760723,-14.170296,-113.610001,-96.040001,-2.24,1729420085509.0,0.0
-7.889136,-7.491928,-19.518253,-2.73,-5.88,31.290001,1729420085528.0,0.0
-7.252645,-9.138189,-17.637495,-60.060001,54.110001,5.53,1729420085548.0,0.0
-6.482157,-14.586647,-11.629118,38.990002,67.269997,24.360001,1729420085571.0,0.0
-5.249853,-7.939385,-6.211767,158.130005,87.010002,14.84,1729420085588.0,0.0
-2.481357,-4.046263,-5.47717,153.229996,88.199997,-4.41,1729420085609.0,0.0
0.315853,-3.751946,3.400201,69.860001,31.92,-11.13,1729420085629.0,0.0
2.15354,-4.304688,4.972286,65.870003,-37.099998,-15.96,1729420085648.0,0.0
0.567099,-3.912265,3.069991,47.32,-47.459999,-2.8,1729420085674.0,0.0
-2.981457,-2.56032,-0.40678,-85.050003,-41.23,-36.330002,1729420085689.0,0.0
-6.975078,-5.833702,-6.903293,-206.919998,-96.25,-38.150002,1729420085708.0,0.0
-6.374479,-10.140782,-17.295322,-208.320007,-124.669998,-41.720001,1729420085728.0,0.0
-6.580262,-10.502099,-16.634903,-104.93,-52.009998,-1.89,1729420085749.0,0.0
-7.018148,-6.850651,-16.139589,-70.489998,63.630001,26.530001,1729420085770.0,0.0
-5.364708,-8.547162,-10.437491,-40.529999,56.98,21.629999,1729420085788.0,0.0
-3.326023,-10.135997,-6.60419,37.240002,32.27,32.27,1729420085809.0,0.0
-1.911865,-7.240681,-9.188439,60.34,44.029999,21.559999,1729420085828.0,0.0
-1.842474,-6.709475,-8.140383,94.150002,73.57,0.98,1729420085850.0,0.0
-1.694118,-7.240681,-3.244668,81.550003,70.209999,-21.98,1729420085872.0,0.0
-1.351945,-4.922036,0.698704,54.040001,27.860001,-31.92,1729420085888.0,0.0
-0.937986,-1.012164,1.581656,18.059999,-13.86,-48.299999,1729420085908.0,0.0
-0.949951,1.598405,-2.711068,-11.48,-43.470001,-29.33,1729420085929.0,0.0
-1.59362,-1.646262,-10.983055,-145.460007,-105.980003,-30.52,1729420085948.0,0.0
-3.684947,-9.300901,-16.778471,-179.970001,-53.760002,-14.84,1729420085970.0,0.0
-7.84128,-13.816156,-18.204596,-114.800003,43.400002,14.07,1729420085989.0,0.0
-8.597411,-10.925629,-15.079568,-51.380001,118.510002,11.55,1729420086008.0,0.0
-3.15374,-10.188639,-9.040084,79.519997,28.559999,15.54,1729420086028.0,0.0
0.614955,-6.039484,-4.283153,94.779999,-6.3,24.15,1729420086049.0,0.0
1.198804,-7.889136,-10.832308,86.099998,39.830002,-6.51,1729420086069.0,0.0
-0.567099,-7.173682,-7.207181,133.0,104.510002,-12.04,1729420086088.0,0.0
-2.07697,-6.252446,-3.682554,202.369995,87.360001,-4.69,1729420086109.0,0.0
-2.306681,-1.679761,0.729811,207.479996,35.630001,-1.26,1729420086129.0,0.0
-1.165305,-4.706682,-1.445265,224.559998,-19.6,-9.8,1729420086149.0,0.0
-0.504886,-6.273981,-4.096512,158.199997,-54.880001,8.12,1729420086170.0,0.0
-0.538385,-4.175476,-5.312066,34.02,-56.490002,-3.71,1729420086188.0,0.0
-1.919044,-8.044669,-9.138189,2.38,5.74,-0.7,1729420086208.0,0.0
-4.309474,-14.684752,-7.467999,73.989998,59.290001,27.93,1729420086236.0,0.0
-5.099105,-11.746366,-5.685347,87.57,74.620003,40.459999,1729420086248.0,0.0
-2.816352,-8.386844,-4.632504,133.210007,31.5,44.099998,1729420086272.0,0.0
-2.033899,-10.033106,-3.615555,113.889999,-5.18,18.200001,1729420086291.0,0.0
-2.40718,-11.062018,-1.26341,98.0,-0.77,8.68,1729420086308.0,0.0
-2.26361,-9.628718,-0.72024,77.419998,0.21,10.01,1729420086328.0,0.0
-2.828316,-6.690332,0.404387,-16.309999,-21.77,3.92,1729420086350.0,0.0
-2.761317,-3.792624,-3.117848,-172.550003,-24.08,-25.9,1729420086371.0,0.0
-3.646662,-4.086941,-5.235496,-269.360016,-47.670002,-50.330002,1729420086389.0,0.0
-3.854837,-7.56132,-7.946564,-311.920013,-50.959999,-72.660004,1729420086410.0,0.0
-4.125226,-11.222338,-7.367501,-282.519989,-64.050003,-72.519997,1729420086429.0,0.0
-3.448057,-8.173882,-8.329416,-248.639999,-73.709999,-64.610001,1729420086449.0,0.0
-3.117848,-6.305088,-7.006185,-190.820007,-70.139999,-69.019997,1729420086472.0,0.0
-2.85703,-5.4676,-6.960721,-157.220001,-56.77,-65.449997,1729420086491.0,0.0
-2.079363,-6.754939,-6.52762,-123.129997,-39.970001,-56.91,1729420086512.0,0.0
-1.284946,-6.508478,-8.123632,-131.180008,-47.389999,-59.920002,1729420086530.0,0.0
-1.765903,-5.163712,-8.169096,-132.580002,-41.720001,-60.060001,1729420086550.0,0.0
-1.962115,-5.726025,-8.788837,-127.82,-27.719999,-52.080002,1729420086572.0,0.0
-2.230111,-5.338387,-8.602197,-121.730003,-34.02,-43.889999,1729420086590.0,0.0
-1.883151,-3.139383,-9.262616,-158.130005,-28.559999,-42.77,1729420086611.0,0.0
-2.67039,-3.862016,-9.044869,-158.059998,-12.81,-23.17,1729420086631.0,0.0
-2.536392,-2.754139,-11.806188,-172.339996,-2.38,-29.540001,1729420086652.0,0.0
-4.414758,-4.639683,-10.841879,-143.220001,14.42,-10.15,1729420086675.0,0.0
-2.349752,-3.584448,-8.152347,-34.02,-20.23,-1.33,1729420086691.0,0.0
-2.311467,0.332602,-5.862415,-40.459999,4.2,6.51,1729420086711.0,0.0
-4.103691,-2.928815,-7.051648,-65.449997,31.639999,-5.81,1729420086730.0,0.0
-3.261417,-0.370888,-9.542577,-111.650002,-3.36,0.63,1729420086751.0,0.0
