acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp,label
-3.491128,-4.675575,-7.537392,-12.11,16.940001,0.7,1729421784471.0,0.0
-3.507878,-4.742575,-7.343572,-22.610001,17.85,-2.52,1729421784471.0,0.0
-3.469593,-5.046463,-8.054241,-18.690001,13.23,-5.67,1729421784472.0,0.0
-3.249453,-4.675575,-8.070991,-9.45,7.7,-5.39,1729421784478.0,0.0
-2.947958,-4.551149,-7.925028,-5.32,7.21,-3.08,1729421784495.0,0.0
-2.70389,-4.792823,-8.039884,-1.61,4.41,-3.01,1729421784515.0,0.0
-2.56032,-4.587041,-8.090133,4.48,4.27,-3.43,1729421784536.0,0.0
-2.452643,-4.139583,-7.956135,7.42,4.76,-4.34,1729421784556.0,0.0
-2.505285,-4.206582,-7.795816,3.99,3.08,-3.29,1729421784577.0,0.0
-2.490928,-4.48415,-8.204988,-3.29,0.49,-2.87,1729421784596.0,0.0
-2.464607,-4.333402,-8.360522,-9.66,-0.98,-4.13,1729421784615.0,0.0
-2.536392,-4.185047,-8.707481,-13.440001,-2.24,-3.29,1729421784635.0,0.0
-2.498107,-4.271189,-8.889337,-13.79,-3.64,-3.43,1729421784656.0,0.0
-2.400001,-4.237689,-8.79123,-19.74,-1.47,-3.15,1729421784677.0,0.0
-2.333002,-4.333402,-8.958728,-21.49,-0.14,-2.52,1729421784695.0,0.0
-2.383251,-4.455436,-9.126225,-16.309999,1.82,-2.73,1729421784716.0,0.0
-2.323431,-4.539185,-9.083155,-5.88,4.34,-3.22,1729421784735.0,0.0
-2.402394,-4.395615,-7.862815,12.95,3.43,0.28,1729421784756.0,0.0
-2.476572,-4.139583,-8.157133,23.870001,-1.68,-0.56,1729421784777.0,0.0
-2.469393,-3.988836,-8.669197,10.15,-5.46,-2.8,1729421784795.0,0.0
-2.505285,-4.163511,-8.145168,-13.65,-5.67,-1.82,1729421784815.0,0.0
-2.505285,-4.728218,-8.386844,-20.719999,-9.17,-1.89,1729421784836.0,0.0
-2.433501,-5.072784,-8.702696,-4.2,-12.95,-4.76,1729421784855.0,0.0
-2.54357,-4.524827,-8.60459,11.55,-8.96,-3.85,1729421784876.0,0.0
-2.885744,-4.21376,-9.066404,12.6,-2.17,-4.76,1729421784895.0,0.0
-3.306881,-4.292724,-9.114261,2.45,2.8,-3.71,1729421784915.0,0.0
-3.553342,-4.493721,-8.913264,-4.9,2.1,-2.59,1729421784935.0,0.0
-3.586841,-4.493721,-8.26481,-2.52,-1.4,-1.96,1729421784957.0,0.0
-3.790231,-4.189832,-8.085347,7.7,2.66,-6.3,1729421784977.0,0.0
-4.17069,-3.866802,-8.377272,11.13,10.92,-7.91,1729421784995.0,0.0
-4.579862,-3.713661,-8.496914,7.98,11.48,-9.1,1729421785016.0,0.0
-4.668397,-3.797409,-8.408379,4.83,10.01,-7.77,1729421785036.0,0.0
-4.529613,-4.125226,-8.520842,1.61,2.87,-6.93,1729421785055.0,0.0
-4.17069,-4.063013,-8.563912,5.32,-7.28,-6.93,1729421785076.0,0.0
-3.926622,-3.366701,-8.84148,9.45,-9.73,-8.68,1729421785098.0,0.0
-3.438486,-3.211168,-9.521042,-5.95,-3.57,-12.95,1729421785116.0,0.0
-2.773281,-3.565305,-9.597611,-24.92,-3.64,-9.24,1729421785135.0,0.0
-2.227718,-3.986443,-9.437292,-15.4,-9.8,-5.67,1729421785157.0,0.0
-1.935793,-4.481757,-9.982857,-6.44,-10.43,-12.67,1729421785177.0,0.0
-1.78026,-4.957928,-10.734202,-7.7,2.52,-18.76,1729421785195.0,0.0
-1.677369,-4.570292,-10.449455,1.75,14.91,-16.1,1729421785215.0,0.0
-1.773082,-6.369694,-9.456435,15.68,11.55,-18.200001,1729421785236.0,0.0
-2.510071,-9.676575,-0.698704,79.309998,32.200001,-21.98,1729421785256.0,0.0
-3.498307,-5.111069,-1.177269,89.529999,20.58,-39.830002,1729421785279.0,0.0
-3.105884,-1.988436,-10.463813,88.550003,-71.260002,-68.949997,1729421785295.0,0.0
-1.371087,-4.555934,-10.930414,9.31,-85.190002,-3.92,1729421785317.0,0.0
0.177069,-7.092326,-9.781858,5.95,-61.459999,-1.05,1729421785336.0,0.0
0.143569,-7.929814,-6.798009,73.080002,-31.219999,5.95,1729421785355.0,0.0
-0.155533,-6.948757,-6.034698,135.380005,-10.64,-17.290001,1729421785382.0,0.0
-0.478565,-5.709275,-5.807381,162.539993,-23.1,-20.370001,1729421785396.0,0.0
-0.351745,-5.237889,-4.728218,159.320007,-57.470001,-10.71,1729421785414.0,0.0
-0.562313,-6.415157,-5.118248,106.610001,-80.989998,-9.1,1729421785435.0,0.0
-0.880559,-7.410572,-3.883551,2.45,-68.110001,-15.190001,1729421785456.0,0.0
-1.885544,-9.832108,-4.376472,-42.07,-45.849998,-20.440001,1729421785479.0,0.0
-2.632105,-9.461221,-7.159326,-3.99,-49.77,-32.970001,1729421785498.0,0.0
-2.723032,-6.271588,-7.996813,18.83,-76.230003,-29.33,1729421785516.0,0.0
-3.321238,-3.661019,-11.507084,-28.91,-70.139999,-11.06,1729421785535.0,0.0
