acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp,label
-1.105484,-4.12044,-9.195618,1.33,-2.31,-3.36,1729425824019.0,0.0
-1.098306,-4.271189,-9.150154,-2.31,-3.15,-2.45,1729425824023.0,0.0
-1.124627,-4.668397,-8.985049,-3.92,-1.82,-1.61,1729425824024.0,0.0
-1.481157,-4.902894,-8.695518,2.8,1.96,-1.12,1729425824024.0,0.0
-1.902294,-4.890929,-9.109475,13.16,4.13,0.07,1729425824037.0,0.0
-2.050649,-4.395615,-9.212367,21.84,3.85,0.49,1729425824058.0,0.0
-2.462214,-4.175476,-9.016156,21.84,11.62,5.04,1729425824078.0,0.0
-3.014957,-4.24726,-8.532805,24.57,16.1,9.45,1729425824097.0,0.0
-3.35713,-4.565506,-8.042276,19.460001,17.99,8.19,1729425824118.0,0.0
-3.534199,-4.761717,-7.594819,13.65,17.15,3.43,1729425824137.0,0.0
-3.622734,-4.4674,-6.927221,10.01,13.86,-2.31,1729425824157.0,0.0
-3.689733,-4.67079,-6.762117,2.1,8.4,-10.15,1729425824178.0,0.0
-3.512664,-4.680361,-6.69751,-9.94,-4.2,-18.83,1729425824197.0,0.0
-3.503092,-4.386044,-6.685547,-18.83,-15.05,-21.35,1729425824217.0,0.0
-3.515057,-4.096512,-6.838687,-28.139999,-24.01,-23.940001,1729425824237.0,0.0
-3.318845,-4.072584,-7.077969,-40.18,-39.27,-27.299999,1729425824257.0,0.0
-2.739782,-4.476971,-7.678568,-49.420002,-59.849998,-31.01,1729425824281.0,0.0
-2.041078,-4.460221,-8.432307,-55.650002,-78.400002,-36.889999,1729425824298.0,0.0
-1.586441,-4.555934,-8.626125,-57.75,-87.849998,-42.490002,1729425824317.0,0.0
-1.241875,-4.508078,-8.645268,-66.639999,-97.230003,-51.66,1729425824337.0,0.0
-0.937986,-4.342973,-9.312866,-74.620003,-108.57,-59.709999,1729425824357.0,0.0
-0.705883,-3.675375,-9.97807,-89.879997,-113.889999,-70.07,1729425824380.0,0.0
-0.827917,-3.270989,-10.442278,-101.290001,-115.080002,-74.480003,1729425824397.0,0.0
-0.863809,-2.931208,-10.853845,-105.699997,-113.82,-77.980003,1729425824417.0,0.0
-0.954736,-2.854637,-11.301301,-97.580002,-106.190002,-78.75,1729425824437.0,0.0
-1.270589,-2.541178,-11.143374,-68.110001,-89.18,-73.43,1729425824457.0,0.0
-1.464408,-1.777867,-10.853845,-17.08,-67.129997,-61.25,1729425824480.0,0.0
-1.301696,-1.299303,-11.102697,26.460001,-51.450001,-47.810001,1729425824498.0,0.0
-1.304088,-1.524228,-11.073983,48.650002,-37.029999,-36.189999,1729425824516.0,0.0
-1.65344,-1.931008,-11.035697,53.41,-23.799999,-26.25,1729425824538.0,0.0
-2.09372,-2.069792,-10.810772,43.330002,-17.15,-20.51,1729425824557.0,0.0
