acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp,label
-2.562713,-10.4016,3.706482,155.960007,-58.380001,16.52,1729429270268.0,0.0
-4.512863,-5.599205,0.928415,126.139999,-118.090004,27.16,1729429270272.0,0.0
-2.323431,-7.69771,-4.003192,17.92,-168.139999,15.75,1729429270273.0,0.0
-6.814759,-11.839686,-10.459028,-31.15,-168.699997,20.09,1729429270284.0,0.0
-16.986649,-12.830315,-12.859028,-17.360001,-109.199997,19.110001,1729429270304.0,0.0
-20.2026,-5.240282,-20.200209,-111.650002,-9.66,-44.099998,1729429270324.0,0.0
-3.65384,-2.737389,-14.488542,23.309999,78.190002,-12.46,1729429270342.0,0.0
-6.606583,-8.659625,-13.253844,-25.9,121.520004,-17.780001,1729429270363.0,0.0
-3.835695,-3.718446,-3.936193,-47.389999,141.539993,7.84,1729429270384.0,0.0
1.136591,-6.108876,2.778067,12.67,131.740005,15.75,1729429270404.0,0.0
5.355137,-4.883751,16.161125,98.769997,62.23,38.990002,1729429270424.0,0.0
2.87378,-11.066804,4.704289,97.370003,-32.619999,36.330002,1729429270443.0,0.0
-2.210968,-8.903693,0.038285,15.96,-100.099998,-11.27,1729429270463.0,0.0
2.139183,-4.457829,-4.218546,30.66,-148.399994,13.09,1729429270484.0,0.0
-7.331609,-8.705089,-3.086741,-53.130001,-142.869995,25.41,1729429270503.0,0.0
-17.407784,-10.411172,-13.988441,-112.489998,-114.099998,19.67,1729429270523.0,0.0
-20.949162,-8.817552,-26.026733,-232.610001,-2.17,-17.5,1729429270543.0,0.0
-7.781459,-7.67139,-17.010576,-48.580002,108.919998,-12.32,1729429270563.0,0.0
-5.036892,1.789831,-12.485749,-79.309998,149.940002,-23.73,1729429270584.0,0.0
-5.635098,-6.273981,-9.674182,-188.789993,156.729996,-34.02,1729429270603.0,0.0
-1.440479,-4.036692,-6.652047,-23.1,154.350006,-4.34,1729429270623.0,0.0
-0.87338,-6.601797,3.479164,44.52,141.680008,16.379999,1729429270643.0,0.0
0.452243,-6.876972,5.187639,92.610001,81.269997,11.83,1729429270663.0,0.0
2.610569,-7.192825,4.95075,57.75,11.83,-3.5,1729429270687.0,0.0
0.878166,-8.542377,-2.151148,25.48,-60.060001,-7.84,1729429270703.0,0.0
-4.24726,-7.877172,-6.716653,25.9,-105.559998,-5.18,1729429270724.0,0.0
-5.546563,-5.242674,-8.525627,-126.349998,-99.050003,-22.33,1729429270743.0,0.0
-5.594419,-8.695518,-8.518449,-351.75,-97.230003,-38.080002,1729429270763.0,0.0
-6.020342,-10.581062,-10.143176,-367.149994,-86.660004,-38.990002,1729429270784.0,0.0
-6.381658,-6.774081,-8.740981,-199.220001,-60.689999,-32.27,1729429270803.0,0.0
-6.924829,-3.019742,-9.078369,-58.029999,-41.439999,-8.68,1729429270824.0,0.0
