acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp,label
-0.370888,-6.489335,-7.21436,8.47,12.88,5.11,1729429971121.0,0.0
0.153141,-8.638089,-4.788038,-3.08,5.95,2.8,1729429971122.0,0.0
0.947558,-7.566105,-5.62074,18.549999,-8.61,-8.82,1729429971122.0,0.0
0.713061,-6.71426,-7.058826,-6.37,-19.879999,-10.85,1729429971123.0,0.0
0.693919,-7.123433,-8.161918,-31.290001,-20.02,-8.33,1729429971129.0,0.0
0.880559,-6.616155,-8.743374,-7.07,-15.190001,-1.89,1729429971150.0,0.0
0.045464,-6.709475,-7.812566,16.309999,-2.03,3.92,1729429971170.0,0.0
-0.354138,-7.006185,-6.927221,17.15,1.54,4.83,1729429971189.0,0.0
-0.119641,-7.037291,-6.599405,14.42,-4.13,3.71,1729429971209.0,0.0
-0.217747,-7.178468,-6.855437,11.34,-7.35,1.54,1729429971230.0,0.0
-0.521635,-7.133004,-7.369894,1.96,-10.08,-0.14,1729429971250.0,0.0
-0.978664,-7.042077,-7.228717,-17.360001,-7.63,-3.64,1729429971269.0,0.0
-1.359123,-7.226324,-7.188039,-34.23,-4.34,-7.63,1729429971289.0,0.0
-1.306481,-7.221539,-6.845865,-34.790001,-4.62,-10.43,1729429971309.0,0.0
-1.325624,-6.821937,-6.812366,-35.139999,-3.57,-12.6,1729429971329.0,0.0
-0.818345,-6.642475,-6.991827,-43.119999,-8.54,-10.29,1729429971350.0,0.0
-0.37328,-6.632904,-7.661818,-43.119999,-11.9,-7.84,1729429971369.0,0.0
-0.48335,-6.795617,-7.71446,-38.290001,-5.11,-9.31,1729429971389.0,0.0
-0.351745,-7.209574,-7.587641,-21.98,-1.26,-8.68,1729429971409.0,0.0
0.851845,-5.678168,-7.470392,23.17,-11.76,-8.26,1729429971429.0,0.0
0.68674,-5.398208,-7.726424,17.290001,-12.88,-9.17,1729429971450.0,0.0
0.564706,-5.716454,-7.458428,-9.66,-12.39,-10.29,1729429971470.0,0.0
0.413958,-5.812167,-7.233503,-24.710001,-12.6,-9.03,1729429971489.0,0.0
-0.011964,-6.463014,-8.26481,-21.49,-11.62,-8.54,1729429971509.0,0.0
0.045464,-6.321837,-9.437292,-6.3,-11.76,-8.05,1729429971530.0,0.0
0.062213,-5.156533,-9.554541,8.54,-5.32,-8.26,1729429971550.0,0.0
-0.787239,-4.644469,-9.174082,5.95,6.58,-5.95,1729429971569.0,0.0
-1.495514,-5.804988,-10.920842,-4.76,12.95,-4.76,1729429971589.0,0.0
0.306281,-5.000999,-12.863814,5.18,15.4,0.42,1729429971610.0,0.0
-3.783052,-4.192225,-0.732204,-11.9,4.27,10.71,1729429971631.0,0.0
-3.328416,-8.202596,-6.831509,205.309998,-36.049999,-25.969999,1729429971657.0,0.0
-1.842474,-2.177469,-11.059627,159.25,-36.330002,9.73,1729429971671.0,0.0
-0.351745,-6.053841,-9.174082,20.65,-24.57,17.360001,1729429971689.0,0.0
2.256432,-9.131011,-9.489935,54.25,-20.65,20.23,1729429971711.0,0.0
3.491128,-8.015956,-7.683353,138.740005,-9.87,24.57,1729429971732.0,0.0
