acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp,label
-3.321238,-5.661418,1.67019,-10.01,-33.670002,-108.57,1729472692371.0,0.0
-0.947558,-4.21376,1.938186,-85.400002,-43.400002,-100.029999,1729472692372.0,0.0
0.792024,-3.629912,1.395016,-187.039993,-54.950001,-89.18,1729472692373.0,0.0
1.423729,-4.082155,0.409173,-279.929993,-60.34,-78.75,1729472692374.0,0.0
0.969093,-4.955536,-0.72024,-345.029999,-53.900002,-66.779999,1729472692382.0,0.0
0.643669,-4.304688,-1.74676,-385.980011,-54.18,-58.099998,1729472692400.0,0.0
0.614955,-3.158526,-3.06042,-413.070007,-62.439999,-44.73,1729472692424.0,0.0
1.038485,-1.665405,-3.479164,-425.73999,-75.949997,-28.700001,1729472692442.0,0.0
1.526621,-0.363709,-4.599005,-417.480011,-90.090004,-4.55,1729472692461.0,0.0
1.416551,-2.416751,-8.408379,-392.839996,-102.690002,29.26,1729472692482.0,0.0
-0.011964,-13.229917,-15.830914,-323.119995,-91.699997,39.27,1729472692502.0,0.0
1.452443,-23.557339,-18.080168,-76.790001,-81.900002,20.09,1729472692524.0,0.0
-1.835295,-14.426328,-19.635502,483.559998,-11.9,77.0,1729472692541.0,0.0
-4.833502,0.595813,-18.082561,1194.060059,52.920002,187.039993,1729472692562.0,0.0
-10.186246,6.132804,-2.464607,1212.75,134.820007,123.199997,1729472692585.0,0.0
-18.687944,5.393422,8.62134,873.809998,165.550003,79.169998,1729472692602.0,0.0
-14.215759,-0.028714,11.799009,447.860016,24.639999,3.92,1729472692624.0,0.0
-5.699703,-6.015556,9.406186,106.330002,-23.870001,-54.950001,1729472692642.0,0.0
-3.402594,-7.142576,5.960521,-27.440001,4.34,-69.720001,1729472692665.0,0.0
-3.720839,-5.87438,5.831308,-87.709999,12.39,-62.369999,1729472692682.0,0.0
-3.862016,-4.347759,5.608776,-172.690002,2.31,-59.150002,1729472692701.0,0.0
-3.510271,-5.412565,4.204189,-253.259995,-11.2,-41.790001,1729472692722.0,0.0
-3.122634,-5.903094,2.160719,-325.779999,-17.43,-38.57,1729472692741.0,0.0
-2.438286,-8.60459,0.344566,-295.959991,-29.610001,-28.42,1729472692762.0,0.0
-2.584249,-9.427721,-0.210568,-229.949997,-18.34,-16.870001,1729472692782.0,0.0
-3.428915,-9.683753,-0.440279,-143.009995,-3.64,-10.43,1729472692801.0,0.0
-4.369294,-9.899107,-0.244068,-69.230003,7.21,-7.07,1729472692822.0,0.0
-4.924429,-10.030712,0.057428,-17.57,13.86,-8.05,1729472692841.0,0.0
-5.166104,-9.470792,0.600598,13.93,19.879999,-10.57,1729472692862.0,0.0
-5.012963,-8.530413,0.98345,17.5,23.73,-13.58,1729472692882.0,0.0
-4.833502,-8.303094,1.158126,-7.0,21.700001,-15.89,1729472692902.0,0.0
