acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp,label
-1.682154,-5.9342,-6.159126,154.630005,36.470001,32.970001,1729474983265.0,0.0
-1.229911,-6.996613,-6.979864,178.289993,10.78,34.860001,1729474983267.0,0.0
-1.990828,-5.15414,-4.350152,192.570007,34.93,34.93,1729474983268.0,0.0
-2.995814,-5.819345,-2.9336,207.619995,35.91,42.84,1729474983279.0,0.0
-3.168097,-6.867401,-3.335595,156.100006,-0.28,39.830002,1729474983300.0,0.0
-2.883351,-7.652246,-4.225725,61.670002,-25.76,31.219999,1729474983320.0,0.0
-2.414358,-8.176274,-5.63749,-17.57,-36.610001,22.540001,1729474983339.0,0.0
-2.208575,-8.867801,-6.898508,-30.52,-35.700001,22.469999,1729474983359.0,0.0
-2.277967,-9.377472,-7.575676,10.64,-22.33,25.969999,1729474983379.0,0.0
-2.512464,-8.676375,-7.568498,54.18,-5.74,22.82,1729474983399.0,0.0
-2.744568,-8.250452,-7.082755,77.489998,11.55,21.629999,1729474983420.0,0.0
-2.904887,-8.405986,-6.932007,74.830002,20.370001,21.77,1729474983439.0,0.0
-2.854637,-8.396415,-6.290731,67.199997,25.059999,19.389999,1729474983459.0,0.0
-2.612962,-8.441878,-5.915058,67.199997,24.15,17.15,1729474983480.0,0.0
-2.347359,-8.135597,-5.678168,60.760002,18.969999,12.46,1729474983499.0,0.0
-2.392823,-7.724032,-5.369494,44.029999,23.030001,8.4,1729474983520.0,0.0
-2.699104,-7.568498,-5.223531,24.99,27.440001,7.7,1729474983540.0,0.0
-2.837888,-7.848458,-5.388636,14.35,25.549999,7.91,1729474983559.0,0.0
-2.76371,-8.075776,-5.134997,7.56,21.280001,8.19,1729474983579.0,0.0
-2.734996,-8.327023,-4.948357,5.39,22.33,8.82,1729474983600.0,0.0
-2.895315,-8.343772,-4.991428,2.24,22.540001,7.98,1729474983620.0,0.0
-2.931208,-8.178668,-5.032106,-6.58,23.450001,5.88,1729474983640.0,0.0
-2.940779,-8.295916,-5.053641,-15.89,20.719999,6.72,1729474983659.0,0.0
-2.854637,-8.583055,-5.20439,-18.41,17.360001,7.28,1729474983679.0,0.0
-2.98385,-8.822337,-5.190032,-9.8,17.639999,8.54,1729474983699.0,0.0
-3.110669,-8.867801,-5.056034,-3.64,15.89,7.7,1729474983720.0,0.0
-3.208775,-8.62134,-5.173282,-5.46,11.41,5.18,1729474983739.0,0.0
-3.110669,-8.312666,-5.249853,-13.02,6.02,2.87,1729474983760.0,0.0
-2.792424,-8.250452,-5.364708,-20.860001,-0.28,0.21,1729474983781.0,0.0
-2.340181,-8.41795,-5.446064,-23.24,-4.55,-1.19,1729474983800.0,0.0
-2.069792,-8.408379,-5.312066,-16.59,-2.8,-2.45,1729474983821.0,0.0
-2.096112,-8.334201,-5.017749,-3.43,2.31,-2.8,1729474983840.0,0.0
-2.15354,-8.202596,-4.886144,8.75,4.34,-2.59,1729474983859.0,0.0
-2.342573,-7.929814,-4.965107,12.11,3.5,-2.8,1729474983881.0,0.0
-2.438286,-7.881958,-4.981857,5.88,0.56,-2.87,1729474983901.0,0.0
-2.474179,-8.102098,-5.056034,-6.65,-3.64,-3.57,1729474983920.0,0.0
-2.581856,-8.166703,-5.058427,-5.74,-3.64,-5.46,1729474983939.0,0.0
-2.737389,-8.12124,-4.972286,1.12,-2.31,-6.65,1729474983960.0,0.0
